RN;SAT;Regi„o;UF;Latitude;Longitude;Altitude Normal (HN);Altitude Geometrica (h);Dif. Altitudes SAT-RN (h-HN);Fator de Conversao hgeoHNOR2020 ;Incerteza hgeoHNOR2020 ;Residuos
  5000N;95018;NORTE;AP;-0,1148459;-51,2900103;11,5571;-11,497;-23,05;-23,02;0,05;-0,04
  5008J;95019;NORTE;AP;00,1365347;-51,1403717;21,0103;-2,164;-23,17;-23,15;0,04;-0,02
  5008V;95020;NORTE;AP;00,3180537;-51,0858763;28,8113;05,447;-23,36;-23,3;0,05;-0,06
  5009M;95021;NORTE;AP;00,5662297;-51,1515077;61,0968;37,295;-23,8;-23,84;0,05;0,04
  5012R;95022;NORTE;AP;00,6397434;-51,6082187;76,6837;52,253;-24,43;-24,62;0,06;0,19
  5012A;95023;NORTE;AP;00,6912548;-51,374544;82,6081;58,334;-24,27;-24,19;0,05;-0,08
  5017V;95024;NORTE;AP;00,8661267;-51,1982069;33,6514;09,249;-24,4;-24,35;0,05;-0,05
  5019A;95025;NORTE;AP;01,3013823;-50,9504946;34,8518;08,887;-25,96;-25,97;0,06;0
  5018M;95026;NORTE;AP;01,0735072;-51,0697598;52,7138;27,81;-24,9;-24,96;0,06;0,06
  5019T;95027;NORTE;AP;01,5403588;-50,9119954;17,023;-9,837;-26,86;-26,77;0,06;-0,09
  5022E;95028;NORTE;AP;01,8075672;-50,8780283;21,1275;-6,401;-27,53;-27,47;0,06;-0,06
  5023C;95029;NORTE;AP;02,0721980;-50,8971007;17,1503;-10,774;-27,92;-27,91;0,06;-0,02
  5023U;95030;NORTE;AP;02,3018386;-50,9617402;21,5633;-6,83;-28,39;-28,35;0,06;-0,05
  5027N;95031;NORTE;AP;02,8413308;-51,3985316;40,827;11,626;-29,2;-29,31;0,06;0,11
  5025P;95032;NORTE;AP;02,6039996;-51,3324455;70,7433;42,071;-28,67;-28,73;0,06;0,05
  5024M;95033;NORTE;AP;02,4834309;-51,0333107;14,8418;-13,945;-28,79;-28,67;0,06;-0,12
  5030B;95040;NORTE;AP;03,5368501;-51,7678688;79,4882;48,844;-30,64;-30,76;0,07;0,11
  5029D;95041;NORTE;AP;03,3147285;-51,6304826;48,6117;18,522;-30,09;-30,22;0,06;0,13
  5028L;95042;NORTE;AP;03,1235862;-51,498937;52,3287;22,503;-29,83;-29,81;0,06;-0,02
  5015G;95043;NORTE;AP;01,0970426;-52,3839135;111,5662;85,406;-26,16;-26,18;0,07;0,02
  5014Z;95044;NORTE;AP;01,0254437;-52,2711472;119,601;93,523;-26,08;-26,01;0,06;-0,07
  5014D;95045;NORTE;AP;00,8556887;-52,0268458;101,1753;75,606;-25,57;-25,52;0,06;-0,05
  5013J;95046;NORTE;AP;00,6460008;-51,8384485;76,6323;51,762;-24,87;-24,98;0,06;0,11
  5002J;95048;NORTE;AP;-0,0916506;-51,7330449;22,4092;-0,95;-23,36;-23,28;0,06;-0,08
  5004E;95049;NORTE;AP;-0,4572253;-52,121095;36,9754;13,697;-23,28;-23,17;0,06;-0,11
  5005B;95050;NORTE;AP;-0,5969154;-52,3289843;98,937;75,54;-23,4;-23,26;0,06;-0,14
  5005J;95051;NORTE;AP;-0,7086175;-52,3856456;133,2562;109,816;-23,44;-23,4;0,06;-0,04
  5031A;95064;NORTE;AP;03,8286244;-51,7962377;28,9393;-2,691;-31,63;-31,47;0,07;-0,16
  5033V;95066;NORTE;AP;00,5756525;-50,8097469;17,9132;-6,269;-24,18;-24,15;0,05;-0,04
  5011X;95067;NORTE;AP;00,6836984;-50,8005974;20,4478;-3,937;-24,38;-24,4;0,05;0,01
  5033L;95068;NORTE;AP;00,5995913;-50,7044338;14,45;-9,87;-24,32;-24,31;0,06;-0,01
  1624L;96088;NORTE;AP;00,0719051;-51,4401293;03,8222;-19,379;-23,2;-23,25;0,05;0,05
  1624U;96089;NORTE;AP;00,2168214;-51,2929429;31,2003;07,910;-23,29;-23,35;0,05;0,06
  1627G;96090;NORTE;AP;-0,2219593;-51,4318978;07,8299;-14,946;-22,78;-23,05;0,06;0,28
  1633P;96091;NORTE;AP;00,8430157;-51,1848259;53,0696;28,789;-24,28;-24,33;0,05;0,05
  1635C;96092;NORTE;AP;01,4237010;-50,9227805;29,2024;02,842;-26,36;-26,47;0,06;0,11
  1636P;96094;NORTE;AP;01,7653781;-50,8823247;15,8509;-11,621;-27,47;-27,37;0,06;-0,1
  1638N;96095;NORTE;AP;02,3731952;-50,9638186;17,3448;-11,171;-28,52;-28,5;0,06;-0,02
  1646C;96096;NORTE;AP;00,5761098;-50,7383778;14,347;-9,839;-24,19;-24,22;0,05;0,03
  1646L;96097;NORTE;AP;00,7040196;-51,4231331;78,2415;53,936;-24,31;-24,34;0,05;0,04
  1648R;96098;NORTE;AP;00,9014429;-52,0023364;149,0417;123,58;-25,46;-25,57;0,06;0,11
  5016C;96303;NORTE;AP;-0,0609906;-51,1686586;05,3082;-17,778;-23,09;-23,03;0,05;-0,06
  5031T;96587;NORTE;AP;00,0313200;-51,0506521;06,1006;-16,854;-22,95;-22,91;0,05;-0,05
  5037D;96588;NORTE;AP;00,0050782;-51,072809;04,7472;-18,207;-22,95;-22,93;0,05;-0,02
  5039L;96589;NORTE;AP;00,4007371;-50,8387727;08,6635;-14,942;-23,61;-23,61;0,05;0
  5006S;96590;NORTE;AP;00,2162946;-51,0186586;20,0047;-3,129;-23,13;-23,11;0,05;-0,03
  5010L;96592;NORTE;AP;00,1453059;-51,5877319;08,2716;-15,244;-23,52;-23,47;0,05;-0,04
  5011B;96593;NORTE;AP;00,2362491;-51,3217742;13,1228;-10,299;-23,42;-23,37;0,05;-0,06
  5007T;96594;NORTE;AP;00,0838776;-51,0795552;12,4164;-10,619;-23,04;-23,04;0,05;0,01
  5002A;96602;NORTE;AP;00,0098533;-51,6368133;34,5516;11,183;-23,37;-23,33;0,05;-0,04
  5001D;96603;NORTE;AP;-0,0904522;-51,4345979;16,8211;-6,28;-23,1;-23,08;0,05;-0,03
  5006J;99500;NORTE;AP;-0,8219678;-52,5156586;51,8962;28,584;-23,31;-23,5;0,07;0,18
  3122A;99617;NORTE;AP;-0,0613814;-51,1679541;05,2226;-17,783;-23,01;-23,03;0,05;0,02
  3122F;99618;NORTE;AP;-0,0595851;-51,1664823;06,5739;-16,436;-23,01;-23,03;0,05;0,02
  4027E;99619;NORTE;AP;-0,0544623;-51,1672668;08,8343;-14,141;-22,98;-23,04;0,05;0,06
  4326R;99620;NORTE;AP;-0,0616116;-51,1673432;05,2478;-17,761;-23,01;-23,03;0,05;0,02
  9304X;99621;NORTE;AP;-0,0531537;-51,1799056;09,4895;-13,535;-23,02;-23,04;0,05;0,01
   993D;90411;NORTE;PA;-7,1424019;-55,3822311;224,5053;208,574;-15,93;-15,97;0,1;0,04
   984C;90448;NORTE;PA;-6,8353307;-49,5828738;222,0871;200,259;-21,83;-22,56;0,13;0,73
  1319B;90583;NORTE;PA;-5,2458647;-57,1159259;110,8357;94,975;-15,86;-16,04;0,1;0,17
   840U;90609;NORTE;PA;-1,2975177;-47,9498164;45,7968;19,941;-25,86;-25,91;0,08;0,06
  3237P;91402;NORTE;PA;-8,622302;-50,4379198;222,9822;204,115;-18,87;-18,85;0,1;-0,02
  3234A;91411;NORTE;PA;-9,5304718;-50,7651635;211,0308;194,365;-16,67;-16,76;0,09;0,09
  1640P;93239;NORTE;PA;-1,7248839;-48,8896399;06,6130;-18,365;-24,98;-24,72;0,09;-0,26
  1330D;93693;NORTE;PA;-2,426354;-54,701349;30,0836;09,112;-20,97;-20,93;0,1;-0,04
   987Z;93995;NORTE;PA;-8,2397427;-49,530043;201,4127;178,519;-22,89;-22,91;0,09;0,01
  1332D;93996;NORTE;PA;-5,069668;-56,157462;108,8754;91,003;-17,87;-17,95;0,09;0,07
  1608J;93997;NORTE;PA;-1,5825504;-48,0163632;28,9087;03,042;-25,87;-25,9;0,08;0,03
  1623U;93998;NORTE;PA;-2,9925036;-47,3632709;77,7691;51,122;-26,65;-26,55;0,1;-0,09
   936A;95000;NORTE;PA;-3,3537094;-52,6230181;163,9901;138,922;-25,07;-25,01;0,1;-0,06
  1325R;95001;NORTE;PA;-4,1247235;-54,9517693;118,7843;97,655;-21,13;-21,16;0,1;0,03
  1322P;95002;NORTE;PA;-4,2676744;-56,0493243;28,0255;07,956;-20,07;-20;0,08;-0,07
  1323D;95003;NORTE;PA;-4,3439913;-55,9608506;38,4018;18,297;-20,1;-20,15;0,08;0,05
  1620S;95034;NORTE;PA;-2,0137408;-47,6981028;45,4697;19,557;-25,91;-25,9;0,08;-0,01
  1607G;95037;NORTE;PA;-1,9968783;-47,9448902;48,5596;22,392;-26,17;-26,14;0,08;-0,03
  1315R;95073;NORTE;PA;-6,2764133;-57,901112;85,1742;77,618;-7,56;-9,79;0,13;2,23
   996L;95075;NORTE;PA;-8,7369998;-54,9650752;378,3586;365,336;-13,02;-13,03;0,1;0
   925C;95077;NORTE;PA;-5,2504458;-49,0609162;96,1817;71,622;-24,56;-24,44;0,1;-0,12
  1605A;96069;NORTE;PA;-2,4551184;-48,7407425;22,9475;-3,874;-26,82;-26,79;0,09;-0,03
  9031V;96072;NORTE;PA;-1,2111363;-47,1464999;35,5547;09,779;-25,78;-25,58;0,1;-0,2
   930A;96073;NORTE;PA;-4,2721533;-49,9251109;89,8045;65,849;-23,96;-23,93;0,1;-0,03
  9517M;90009;NORTE;RO;-10,879236;-61,9458179;159,5418;172,621;13,08;12,9;0,09;0,18
  9517C;90012;NORTE;RO;-8,740544;-63,9032861;85,4705;97,221;11,75;11,61;0,09;0,14
   762M;91242;NORTE;RO;-9,9286931;-63,0588031;117,432;131,324;13,89;13,82;0,09;0,07
   768B;91245;NORTE;RO;-9,3228946;-64,6239921;119,6617;133,123;13,46;13,42;0,09;0,05
   772B;91246;NORTE;RO;-10,7903055;-65,3455528;128,9128;151,79;22,88;22,74;0,1;0,13
   774G;91247;NORTE;RO;-9,7844634;-66,4411904;141,5147;162,878;21,36;21,31;0,1;0,05
   772E;91283;NORTE;RO;-9,6912746;-65,3747471;100,5415;118,213;17,67;17,6;0,09;0,08
   771A;91284;NORTE;RO;-10,3610482;-65,3160175;140,835;162,623;21,79;21,34;0,1;0,45
   763R;91286;NORTE;RO;-9,368122;-63,1341946;120,9727;132,867;11,89;11,85;0,09;0,04
   760N;91287;NORTE;RO;-10,5925629;-62,3527982;245,5982;259,664;14,07;13,95;0,09;0,12
  9520J;90124;NORTE;RR;04,4824489;-61,1482342;938,8561;922,852;-16;-16;0,07;0
  1343G;91171;NORTE;RR;02,8559679;-60,6975809;80,8387;64,798;-16,04;-15,9;0,09;-0,14
  1340R;91172;NORTE;RR;01,8054318;-61,1506179;49,9966;37,473;-12,52;-12,06;0,12;-0,46
  1344P;92638;NORTE;RR;03,5604694;-60,939154;94,9721;78,094;-16,88;-16,78;0,07;-0,1
  1344U;92639;NORTE;RR;03,6794942;-60,9823234;89,45;72,485;-16,97;-16,95;0,07;-0,02
  1345B;92640;NORTE;RR;03,8225452;-60,9958349;101,2735;83,988;-17,29;-17,28;0,06;0
  1345F;92641;NORTE;RR;03,9463730;-61,0236637;117,657;100,084;-17,57;-17,63;0,06;0,06
  1345M;92642;NORTE;RR;04,0932200;-61,0390556;131,9751;114,063;-17,91;-17,68;0,06;-0,23
  1345T;92643;NORTE;RR;04,2108583;-61,0127386;171,2022;153,349;-17,85;-17,71;0,06;-0,14
  1346A;92644;NORTE;RR;04,3053206;-61,0804729;352,0718;334,806;-17,27;-17,19;0,06;-0,07
  1346F;92645;NORTE;RR;04,4059220;-61,1642438;461,5087;445,057;-16,45;-16,36;0,07;-0,09
  1335Z;95005;NORTE;RR;-0,0747169;-60,6971391;46,7193;34,906;-11,81;-11,73;0,1;-0,09
  1338J;95006;NORTE;RR;01,0875092;-60,3855152;77,75;63,658;-14,09;-14,06;0,08;-0,03
  1339C;95007;NORTE;RR;01,3115568;-60,5732685;72,3994;58,541;-13,86;-13,88;0,09;0,02
  1340V;95008;NORTE;RR;01,8295084;-61,1318197;51,7238;39,165;-12,56;-12,08;0,12;-0,48
  1352H;95009;NORTE;RR;00,9261501;-59,8183014;129,5683;113,604;-15,96;-15,84;0,09;-0,13
  2206H;91390;NORTE;TO;-11,5867011;-48,6729182;234,8871;218,991;-15,9;-15,94;0,09;0,05
  2307P;91391;NORTE;TO;-12,2186189;-47,2968241;401,896;383,555;-18,34;-18,34;0,08;0
   909H;91392;NORTE;TO;-11,6484419;-47,4016012;350,8731;333,629;-17,24;-17,21;0,09;-0,03
   905U;91393;NORTE;TO;-12,1842216;-46,4560714;533,3412;516,37;-16,97;-16,91;0,08;-0,06
  1375H;91394;NORTE;TO;-12,7287279;-46,4671767;435,1426;418,377;-16,77;-16,58;0,08;-0,19
   681A;91396;NORTE;TO;-10,4318647;-48,9988595;289,5533;271,043;-18,51;-18,4;0,09;-0,11
  1359M;91401;NORTE;TO;-12,6762688;-50,5912982;207,1515;193,103;-14,05;-14,08;0,09;0,03
  3254A;92615;NORTE;TO;-12,2898137;-48,2392581;290,4341;275,035;-15,4;-15,47;0,08;0,07
  1379P;92616;NORTE;TO;-12,6213725;-47,8861538;270,4425;253,618;-16,82;-16,81;0,08;-0,01
  3251U;92617;NORTE;TO;-12,7437272;-48,2374296;268,8914;253,686;-15,21;-15,18;0,07;-0,02
  2312G;92820;NORTE;TO;-12,4210016;-48,6240231;298,6254;284,32;-14,31;-14,4;0,08;0,09
  1377E;92821;NORTE;TO;-12,914303;-46,9537749;749,0111;731,301;-17,71;-17,85;0,08;0,14
  2305V;92822;NORTE;TO;-11,7925663;-46,9062941;422,1401;404,508;-17,63;-17,7;0,08;0,07
  2208H;92823;NORTE;TO;-10,9311899;-48,5230495;253,0913;236,485;-16,61;-16,61;0,09;0,01
   946V;92824;NORTE;TO;-9,5654998;-46,6165731;454,0876;433,747;-20,34;-20,6;0,09;0,26
   682P;92825;NORTE;TO;-9,7648506;-48,7034962;338,8428;319,87;-18,97;-19,04;0,1;0,07
   988S;92826;NORTE;TO;-8,312089;-49,2029983;181,9034;158,488;-23,42;-23,46;0,09;0,04
   921A;92827;NORTE;TO;-5,727393;-48,1173495;129,3153;104,666;-24,65;-24,66;0,09;0,01
   687B;92828;NORTE;TO;-7,550267;-48,4164369;268,4324;245,422;-23,01;-22,97;0,1;-0,05
  1384R;92829;NORTE;TO;-11,600182;-50,5704365;190,2797;172,615;-17,66;-17,7;0,1;0,03
  2984M;91543;SUDESTE;ES;-20,7956487;-40,8094166;37,4319;29,73;-7,7;-6,94;0,09;-0,76
  1087A;91596;SUDESTE;ES;-20,2331376;-40,2753731;33,7744;25,89;-7,88;-7,34;0,08;-0,54
  4018Z;91847;SUDESTE;ES;-20,2124997;-40,2680291;37,4682;30,085;-7,38;-7,36;0,08;-0,03
  3286H;91848;SUDESTE;ES;-19,3908232;-40,0732861;38,9161;31,153;-7,76;-7,82;0,07;0,06
  3286J;91849;SUDESTE;ES;-18,7117171;-39,8761929;44,1152;36,221;-7,89;-7,9;0,08;0,01
  4025P;91871;SUDESTE;ES;-18,1331624;-40,3636408;188,7912;179,816;-8,98;-8,99;0,08;0,01
  4030J;91872;SUDESTE;ES;-18,7505876;-40,8897362;211,9931;202,71;-9,28;-9,31;0,08;0,02
  4035N;91873;SUDESTE;ES;-19,887453;-40,8675409;185,3607;177,944;-7,42;-7,29;0,07;-0,13
  4028M;93699;SUDESTE;ES;-18,3806063;-40,8195724;234,5423;225,186;-9,36;-9,38;0,08;0,03
  4007M;96064;SUDESTE;ES;-20,7495066;-41,473122;114,8423;108,145;-6,7;-6,61;0,07;-0,09
  4006L;96065;SUDESTE;ES;-20,7697657;-41,1627492;71,7616;64,767;-6,99;-7,01;0,07;0,02
  3281R;96066;SUDESTE;ES;-19,051492;-40,0292262;48,1449;40,224;-7,92;-7,9;0,08;-0,02
   173D;96067;SUDESTE;ES;-19,9341059;-40,6008784;651,2828;644,528;-6,75;-6,85;0,07;0,09
  4005A;96068;SUDESTE;ES;-21,1152472;-41,025531;26,7487;19,599;-7,15;-7,1;0,08;-0,05
  4014G;96202;SUDESTE;ES;-20,2568888;-41,3639231;1056,7989;1050,764;-6,03;-6,21;0,07;0,17
  4013B;96203;SUDESTE;ES;-20,38209;-41,0234736;1082,3429;1076,679;-5,66;-5,7;0,07;0,03
  3282Z;96249;SUDESTE;ES;-19,6316457;-40,2262725;68,8;60,934;-7,87;-7,87;0,07;0,01
  4033N;96250;SUDESTE;ES;-19,4809574;-40,6763398;128,1251;119,745;-8,38;-8,35;0,08;-0,03
  9505J;90357;SUDESTE;MG;-16,1887985;-43,0997479;982,575;970,361;-12,21;-12,29;0,08;0,08
  9502D;91031;SUDESTE;MG;-19,7620378;-48,1015818;763,7083;754,043;-9,67;-9,64;0,07;-0,02
  1092E;91238;SUDESTE;MG;-16,1825643;-40,6934616;187,1345;178,342;-8,79;-8,75;0,07;-0,05
  2286G;91243;SUDESTE;MG;-15,6242188;-46,4223333;552,0482;538,061;-13,99;-13,9;0,08;-0,09
  2225L;91379;SUDESTE;MG;-16,3327763;-47,1162918;855,9885;842,771;-13,22;-13,2;0,07;-0,02
   213J;91403;SUDESTE;MG;-17,8425669;-46,3371328;587,5092;575,288;-12,22;-12,13;0,08;-0,1
  2273P;91407;SUDESTE;MG;-15,0578703;-46,5000032;949,5329;935,873;-13,66;-13,74;0,08;0,08
  2370R;91408;SUDESTE;MG;-16,2678288;-46,6614071;647,3278;633,812;-13,52;-13,46;0,08;-0,06
  1297A;91409;SUDESTE;MG;-16,6920798;-46,5242413;539,9273;526,206;-13,72;-13,66;0,07;-0,07
   117X;91573;SUDESTE;MG;-21,4752155;-43,125568;403,8666;398,377;-5,49;-5,44;0,07;-0,05
   108L;91630;SUDESTE;MG;-20,6601721;-43,7859457;995,3224;990,967;-4,36;-4,4;0,08;0,04
  2993X;91665;SUDESTE;MG;-20,1510138;-47,280019;631,5441;623,631;-7,91;-7,86;0,05;-0,05
  2993U;91670;SUDESTE;MG;-20,2882108;-47,066574;686,5841;679,268;-7,32;-7,37;0,06;0,05
  2992U;91672;SUDESTE;MG;-20,2867725;-47,0659148;631,5042;623,244;-8,26;-7,37;0,06;-0,89
  2992T;91673;SUDESTE;MG;-20,2863026;-47,0668528;631,929;624,514;-7,41;-7,37;0,06;-0,04
  2992S;91674;SUDESTE;MG;-20,2862672;-47,0642366;669,6019;662,037;-7,56;-7,37;0,06;-0,2
  2992Z;91675;SUDESTE;MG;-20,2856162;-47,0672158;632,5949;625,211;-7,38;-7,37;0,06;-0,01
  2993L;91676;SUDESTE;MG;-20,2756627;-47,0789592;629,6654;622,27;-7,4;-7,39;0,06;-0,01
  2992M;91677;SUDESTE;MG;-20,2835598;-47,0643935;669,5673;662,175;-7,39;-7,37;0,06;-0,02
  3003G;91678;SUDESTE;MG;-20,6637603;-46,3166536;774,6156;767,809;-6,81;-6,75;0,07;-0,06
  3003J;91679;SUDESTE;MG;-20,6652893;-46,3207131;682,8601;676,062;-6,8;-6,75;0,07;-0,05
  2990V;91691;SUDESTE;MG;-20,357224;-47,0360243;722,994;715,574;-7,42;-7,18;0,06;-0,24
  2990P;91692;SUDESTE;MG;-20,3198918;-47,0882033;743,1005;736,468;-6,63;-7,28;0,06;0,65
  2996R;91693;SUDESTE;MG;-20,7489734;-46,7627627;746,2726;739,682;-6,59;-6,53;0,05;-0,06
  2996A;91694;SUDESTE;MG;-20,6039382;-46,9106961;696,5885;689,667;-6,92;-6,85;0,06;-0,07
  2997B;91695;SUDESTE;MG;-20,7373922;-46,6545809;821,5063;814,981;-6,53;-6,56;0,06;0,04
  4022Z;91699;SUDESTE;MG;-20,756405;-42,8711022;712,804;706,034;-6,77;-6,75;0,06;-0,02
  4022U;91700;SUDESTE;MG;-20,762595;-42,8641293;702,5286;695,77;-6,76;-6,73;0,06;-0,03
  4022X;91701;SUDESTE;MG;-20,7653937;-42,8670267;698,7384;691,982;-6,76;-6,72;0,06;-0,04
  4022T;91702;SUDESTE;MG;-20,7403881;-42,8437789;653,9156;647,127;-6,79;-6,76;0,07;-0,03
  4022S;91703;SUDESTE;MG;-20,7474109;-42,8390417;656,0096;649,257;-6,75;-6,73;0,06;-0,02
  3050G;91729;SUDESTE;MG;-21,3306134;-44,9838917;1217,4974;1213,629;-3,87;-3,93;0,06;0,06
  3050F;91731;SUDESTE;MG;-21,3302859;-44,981916;1182,695;1179,016;-3,68;-3,93;0,06;0,25
  3044X;91732;SUDESTE;MG;-21,3330862;-44,9745698;1045,0218;1041,098;-3,92;-3,92;0,06;-0,01
  3044Z;91733;SUDESTE;MG;-21,3327146;-44,9728412;1042,0656;1038,172;-3,89;-3,92;0,06;0,02
  3050D;91734;SUDESTE;MG;-21,3304583;-44,9681942;1019,1488;1015,072;-4,08;-3,92;0,06;-0,16
  3050E;91735;SUDESTE;MG;-21,3295158;-44,9688072;1008,5617;1004,636;-3,93;-3,92;0,06;0
  1138C;91740;SUDESTE;MG;-19,6444121;-42,8188547;341,5556;330,822;-10,73;-10,4;0,11;-0,33
  1169D;91771;SUDESTE;MG;-18,4803692;-43,0386095;702,4355;692,162;-10,27;-10,28;0,09;0
  3034J;91784;SUDESTE;MG;-20,0319841;-47,4342421;573,8416;565,366;-8,48;-8,39;0,06;-0,09
  3038R;91786;SUDESTE;MG;-20,0247606;-48,2150747;500,0411;490,906;-9,14;-9,07;0,06;-0,06
  3036F;91788;SUDESTE;MG;-20,1193948;-48,5733326;473,889;465,657;-8,23;-8,38;0,06;0,14
  3036G;91789;SUDESTE;MG;-20,1247573;-48,5723362;470,2497;461,927;-8,32;-8,37;0,06;0,05
  3036X;91790;SUDESTE;MG;-20,2940128;-49,1944528;457,454;449,752;-7,7;-7,69;0,06;-0,01
  2981F;91791;SUDESTE;MG;-20,3015;-49,1972345;451,1199;443,34;-7,78;-7,69;0,06;-0,09
  3045R;91797;SUDESTE;MG;-21,1326782;-45,0228794;789,7211;785,463;-4,26;-4,23;0,05;-0,03
  3045T;91798;SUDESTE;MG;-21,2276372;-44,9759475;922,2363;918,147;-4,09;-4,11;0,05;0,02
  3044G;91799;SUDESTE;MG;-21,2274852;-44,9786388;919,7345;915,672;-4,06;-4,11;0,05;0,05
  3045U;91800;SUDESTE;MG;-21,2291141;-44,9746058;922,2554;918,155;-4,1;-4,11;0,05;0,01
  3045X;91801;SUDESTE;MG;-21,2278997;-44,9735593;931,8194;927,521;-4,3;-4,11;0,05;-0,19
  3044A;91802;SUDESTE;MG;-21,050526;-45,2858589;772,9453;768,123;-4,82;-4,85;0,06;0,03
  3044E;91803;SUDESTE;MG;-21,0593648;-45,3158092;770,0259;765,147;-4,88;-4,91;0,06;0,04
  3043Z;91804;SUDESTE;MG;-21,0498902;-45,2786115;770,4402;765,6;-4,84;-4,83;0,06;-0,01
  3053U;91805;SUDESTE;MG;-21,080372;-45,2571318;773,6258;768,855;-4,77;-4,72;0,06;-0,05
  3053M;91806;SUDESTE;MG;-21,1316898;-45,2517131;768,9863;764,341;-4,65;-4,63;0,05;-0,02
  3053G;91807;SUDESTE;MG;-21,1396268;-45,2223609;791,1733;786,35;-4,82;-4,59;0,05;-0,23
  3053E;91809;SUDESTE;MG;-21,1158011;-45,2123177;799,4151;794,78;-4,64;-4,62;0,05;-0,02
  3043T;91810;SUDESTE;MG;-21,0711498;-45,2301308;774,1617;769,431;-4,73;-4,69;0,06;-0,04
  3043L;91811;SUDESTE;MG;-21,087811;-45,1780533;783,3864;778,837;-4,55;-4,62;0,05;0,07
  3044V;91815;SUDESTE;MG;-21,1672804;-45,1166869;808,8747;804,446;-4,43;-4,4;0,05;-0,03
  3042S;91817;SUDESTE;MG;-21,1901624;-45,056993;773,4213;769,124;-4,3;-4,24;0,05;-0,06
   658A;91834;SUDESTE;MG;-20,0492576;-47,4056955;581,157;572,781;-8,38;-8,28;0,05;-0,1
  3034P;91846;SUDESTE;MG;-20,0510312;-47,4061054;573,0455;564,58;-8,47;-8,27;0,05;-0,19
  1091E;91876;SUDESTE;MG;-19,7710237;-43,0188098;531,916;523,206;-8,71;-9,54;0,11;0,83
   617V;91917;SUDESTE;MG;-18,2149818;-45,2598255;577,3296;566,237;-11,09;-11,01;0,08;-0,08
  3261F;92711;SUDESTE;MG;-18,4242683;-49,1189247;523,4975;511,95;-11,55;-11,54;0,06;-0,01
  3261H;92712;SUDESTE;MG;-18,4069112;-49,0972581;523,7107;512,101;-11,61;-11,61;0,06;0
  2996U;92850;SUDESTE;MG;-20,7380812;-46,7361314;698,184;691,587;-6,6;-6,56;0,05;-0,03
  3320L;92851;SUDESTE;MG;-20,8620348;-46,898467;956,4114;950,531;-5,88;-5,83;0,05;-0,05
  3320U;92852;SUDESTE;MG;-20,8948855;-47,0021116;933,6855;928,042;-5,64;-5,69;0,06;0,05
  3321L;92853;SUDESTE;MG;-21,0712379;-46,9795535;1158,3254;1153,043;-5,28;-5,39;0,06;0,1
  3321Z;92854;SUDESTE;MG;-21,1929657;-46,9729304;889,5287;884,346;-5,18;-5,18;0,06;0
  3322L;92855;SUDESTE;MG;-21,3499525;-46,9407411;764,142;759,031;-5,11;-5,07;0,06;-0,04
  2166B;92887;SUDESTE;MG;-19,1352534;-47,934637;831,3734;821,553;-9,82;-9,81;0,07;-0,01
  2168U;92888;SUDESTE;MG;-18,8794138;-48,970593;733,8142;723,076;-10,74;-10,69;0,07;-0,05
  2176C;93257;SUDESTE;MG;-19,8899847;-49,3729311;524,4361;516,747;-7,69;-7,7;0,07;0,01
  1092U;93354;SUDESTE;MG;-16,1452036;-40,1743465;155,8263;146,876;-8,95;-9;0,08;0,05
  1143C;93355;SUDESTE;MG;-16,149581;-40,5032316;174,5477;165,68;-8,87;-8,92;0,07;0,05
  9527D;93679;SUDESTE;MG;-18,0632994;-41,6748089;341,2819;331,685;-9,6;-9,59;0,09;-0,01
  2319S;93906;SUDESTE;MG;-17,347949;-44,9068594;510,9326;498,335;-12,6;-12,56;0,08;-0,03
  1293J;93923;SUDESTE;MG;-16,1146103;-45,6238287;593,0314;579,351;-13,68;-13,68;0,08;0
   215S;96055;SUDESTE;MG;-17,2240651;-46,8743006;683,3433;670,48;-12,86;-12,85;0,08;-0,01
   146Q;96056;SUDESTE;MG;-18,5894766;-46,5169278;834,2886;824,346;-9,94;-9,83;0,09;-0,11
  2163L;96057;SUDESTE;MG;-19,4001171;-47,3213885;1096,5556;1087,917;-8,64;-8,75;0,07;0,11
   618M;96058;SUDESTE;MG;-18,1044781;-45,4681658;603,9634;593,027;-10,94;-11,01;0,08;0,07
  1172T;96059;SUDESTE;MG;-18,3665645;-44,4404761;638,704;628,095;-10,61;-10,56;0,09;-0,04
  2332A;96061;SUDESTE;MG;-17,213236;-44,4454414;559,3696;546,912;-12,46;-12,4;0,08;-0,06
   135I;96063;SUDESTE;MG;-20,3300221;-42,3647085;675,3576;668,878;-6,48;-6,55;0,08;0,07
  1180Z;96189;SUDESTE;MG;-15,7459192;-43,0608185;573,2463;560,24;-13,01;-12,96;0,08;-0,05
  3306L;96190;SUDESTE;MG;-21,0090203;-42,8197002;384,9993;378,385;-6,61;-6,66;0,07;0,04
  4019X;96191;SUDESTE;MG;-21,1635899;-42,4575896;204,2314;197,545;-6,69;-6,69;0,07;0
  1179D;96192;SUDESTE;MG;-15,6297401;-43,7306539;513,5103;500,313;-13,2;-13,12;0,08;-0,08
  2335J;96193;SUDESTE;MG;-15,3754072;-44,2665852;452,8237;440,007;-12,82;-12,78;0,07;-0,04
  2316F;96194;SUDESTE;MG;-17,000168;-45,9702632;549,9529;536,247;-13,71;-13,68;0,07;-0,02
